gvkey,CUSIP,ticker,CIK,CoName,cik_source
165286,03834B30,APCX,1070050.0,AppTech Payments Corp.,ticker_fallback
1209,00915810,APD,2969.0,AIR PRODUCTS & CHEMICALS INC /DE/,cusip_link
178797,02913V10,APEI,1201792.0,AMERICAN PUBLIC EDUCATION INC,cusip_link
29687,03767D10,APEN,1251769.0,Apollo Endosurgery Inc,cusip_link
1533,02874010,APFC,350832.0,AMERICAN PACIFIC CORP,cusip_link
27148,00782L10,APFH,1669792.0,AdvancePierre Foods Holdings Inc,cusip_link
325576,00187Y10,APG,1796209.0,APi Group Corp,cusip_link
43091,03770N10,APGE,1974640.0,Apogee Therapeutics Inc,cusip_link
36869,03759B10,APGN,1814140.0,Apexigen Inc,cusip_link
14282,03209510,APH,820313.0,AMPHENOL CORP /DE/,cusip_link
23616,00754E10,API,869986.0,ADVANCED PHOTONIX INC,cusip_link
23423,03765N10,APIC,1324772.0,Apigee Corp,cusip_link
175111,00476410,APKT,1130258.0,ACME PACKET INC,cusip_link
144097,04939210,APL,1092914.0,ATLAS PIPELINE PARTNERS LP,cusip_link
146738,03816920,APLD,1144879.0,Applied Digital Corp,cusip_link
26359,03753U10,APLS,,,not_found
35091,03828A10,APLT,1697532.0,Applied Therapeutics Inc,cusip_link
1686,03759810,APOG,6845.0,APOGEE ENTERPRISES INC,cusip_link
31122,03760410,APOL,929887.0,APOLLO GROUP INC,cusip_link
179110,02385010,APP,1336545.0,AMERICAN APPAREL INC,cusip_link
38212,03831W10,APP,1751008.0,AppLovin Corp,cusip_link
13786,42774610,APPA,,,not_found
24071,03783C10,APPF,1433195.0,APPFOLIO INC,cusip_link
37946,03783T10,APPH,1807707.0,AppHarvest Inc,cusip_link
31236,03782L10,APPN,1441683.0,APPIAN CORP,cusip_link
148170,76729210,APPY,,,not_found
37826,03836A10,APR,1735803.0,Apria Inc,cusip_link
35648,03836J20,APRE,1781983.0,Aprea Therapeutics Inc,cusip_link
31624,09523Q30,APRN,1701114.0,Blue Apron Holdings Inc,cusip_link
27997,03823710,APSG,741696.0,APPLIED SIGNAL TECHNOLOGY INC,cusip_link
37079,37890B10,APSG,1820872.0,Global Business Travel Group Inc,cusip_link
62072,02077210,APT,884269.0,ALPHA PRO TECH LTD,cusip_link
27909,03835C10,APTI,1419625.0,Apptio Inc,cusip_link
33643,03836N10,APTX,1674365.0,Aptinyx Inc,cusip_link
61839,03097510,APU,932628.0,AMERIGAS PARTNERS LP,cusip_link
33326,15872M10,APY,1723089.0,ChampionX Corp,cusip_link
32524,03842Q10,AQ,1316016.0,AQUANTIA CORP,cusip_link
275862,03842K30,AQB,1603978.0,AQUABOUNTY TECHNOLOGIES INC,ticker_fallback
33743,03843E10,AQST,1398733.0,Aquestive Therapeutics Inc,cusip_link
